location,lat,lng,value
"Kenilworth, Union County",40.6764911,-74.2907032,36
"Atlantic Highlands, Monmouth County",40.4078864,-74.034306,36
"Florham Park, Morris County",40.787878,-74.3882072,35
"Prospect Park, Passaic County",40.9370428,-74.1743111,35
"New Milford, Bergen County",40.9350986,-74.0190281,35
"Haddon, Camden County",39.9105176,-75.0497448,35
"Bordentown, Burlington County",40.1462213,-74.7118264,35
"Logan Township, Gloucester County",39.7847179,-75.349185,35
"Union Beach, Monmouth County",40.4464962,-74.1781988,35
"Chatham boro, Morris County",40.740934,-74.3837624,34
"Warren Township, Somerset County",40.6342489,-74.5004796,34
"Watchung, Somerset County",40.63788,-74.4509863,34
"Franklin Boro, Sussex County",41.1220409,-74.5804378,33
"Byram, Sussex County",40.9601024,-74.7227291,33
"West Milford, Passaic County",41.1311292,-74.3673254,33
"Fanwood, Union County",40.6409358,-74.383484,33
"Montvale, Bergen County",41.0467635,-74.0229173,32
"Woodstown, Salem County",39.6515027,-75.3282454,32
"Lincoln Park, Morris County",40.9242652,-74.3020933,32
"Raritan, Hunterdon County",40.5041636,-74.8974925,31
"Sparta, Sussex County",41.0334562,-74.6363588,31
"East Greenwich, Gloucester County",39.7975993,-75.2362381,31
"East Rutherford, Bergen County",40.833989,-74.0970865,30
"Magnolia, Camden County",39.8545581,-75.0390591,29
"Pitman, Gloucester County",39.732892,-75.1315651,29
"Englishtown, Monmouth County",40.2973319,-74.3582041,29
"Delanco, Burlington County",40.0506669,-74.9535016,29
"Hasbrouck Heights, Bergen County",40.8581553,-74.0806971,29
"Piscataway, Middlesex County",40.554887,-74.4642861,29
"Cresskill, Bergen County",40.9414874,-73.9593041,28
"Woodbury Heights, Gloucester County",39.817058,-75.1551776,28
"Shrewsbury, Monmouth County",40.3295547,-74.0615285,28
"North Hanover, Burlington County",40.0723409,-74.5814773,27
"Pemberton Boro, Burlington County",39.9720578,-74.6829363,27
"Jamesburg, Middlesex County",40.3526079,-74.4401513,27
"Linwood, Atlantic County",39.3398382,-74.5751557,26
"Tuckerton, Ocean County",39.603174,-74.340145,26
"Washington, Bergen County",40.9912886,-74.0597897,26
"Readington, Hunterdon County",40.5687141,-74.7376619,26
"New Providence, Union County",40.6984348,-74.4015405,25
"North Haledon, Passaic County",40.9550981,-74.1859781,25
"Riverdale, Morris County",40.9939865,-74.3034823,25
"Milltown, Middlesex County",40.4562164,-74.4432073,24
"Keyport, Monmouth County",40.4331631,-74.1995883,24
"Gibbsboro, Camden County",39.8381698,-74.9648887,24
"Helmetta, Middlesex County",40.3767741,-74.4245952,24
"Oaklyn, Camden County",39.9009465,-75.0846179,24
"Wanaque, Passaic County",41.0381525,-74.2940378,24
"Hamburg, Sussex County",41.1534294,-74.5762713,23
"Garwood, Union County",40.6517691,-74.3229264,23
"Hardyston, Sussex County",41.1137037,-74.5540506,23
"Harding, Morris County",40.7397683,-74.511172,23
"Cranbury, Middlesex County",40.3025907,-74.511172,23
"Glen Rock, Bergen County",40.9628758,-74.1329207,23
"Bernardsville, Somerset County",40.7187119,-74.569324,23
"Monmouth Beach, Monmouth County",40.3303883,-73.9815262,22
"Palisades Park, Bergen County",40.8481556,-73.997639,22
"Netcong, Morris County",40.8989877,-74.7065516,22
"Margate, Atlantic County",39.327894,-74.5034858,22
"Lopatcong, Warren County",40.7127921,-75.1603752,22
"Butler, Morris County",41.0037087,-74.3415394,22
"Lambertville, Hunterdon County",40.3659394,-74.9429448,21
"Millburn, Essex County",40.7340454,-74.3206696,21
"Pohatcong, Warren County",40.6333553,-75.1603752,21
"Oakland, Bergen County",41.0131529,-74.2643143,21
"Upper Saddle River, Bergen County",41.0584299,-74.0984756,21
"Waldwick, Bergen County",41.0106528,-74.1179203,21
"Mountainside, Union County",40.6723242,-74.3573722,21
"Verona, Essex County",40.8298006,-74.2401609,21
"Englewood Cliffs, Bergen County",40.8853773,-73.9523597,20
"Franklin Lakes, Bergen County",41.0167639,-74.2057011,20
"Kinnelon, Morris County",41.0017644,-74.367096,20
"Harrison Township, Gloucester County",39.7296493,-75.207737,20
"Colts Neck, Monmouth County",40.2876108,-74.1723652,20
"Haddon Heights, Camden County",39.8773356,-75.0646165,19
"Tenafly, Bergen County",40.9253766,-73.9629154,19
"Plumstead, Ocean County",40.0479478,-74.4760088,18
"Chester Twp, Morris County",40.7652883,-74.6985891,18
"South Hackensack, Bergen County",40.8625996,-74.0479182,18
"Morris Plains Boro, Morris County",40.8395922,-74.4818698,18
"Hackettstown, Warren County",40.8539879,-74.8290555,18
"Washington, Morris County",40.7695876,-74.8039205,18
"Merchantville, Camden County",39.9503838,-75.0479726,18
"Spring Lake Boro, Monmouth County",40.1505348,-74.0447003,17
"Hillsdale, Bergen County",41.0025975,-74.0404175,17
"Spring Lake Heights, Monmouth County",40.1505348,-74.0447003,16
"Leonia, Bergen County",40.8614887,-73.9881942,16
"Haddonfield, Camden County",39.8915022,-75.0376707,16
"Avalon, Cape May County",39.101225,-74.7176622,16
"Ship Bottom, Ocean County",39.642897,-74.1804159,15
"Independence, Warren County",40.8893883,-74.8857989,15
"Northfield City, Atlantic County",39.3703942,-74.5501546,15
"East Hanover, Morris County",40.8200623,-74.3647247,15
"Andover Township, Sussex County",41.0155479,-74.7295522,15
"Mendham Boro, Morris County",40.7759334,-74.6007142,14
"Mount Arlington, Morris County",40.9259319,-74.6348828,14
"River Edge, Bergen County",40.9287098,-74.0398622,14
"Rumson, Monmouth County",40.372054,-73.9990269,14
"Wenonah, Gloucester County",39.7945582,-75.1487883,13
"Lavallette, Ocean County",39.9703958,-74.0687475,13
"High Bridge, Hunterdon County",40.6670454,-74.8957231,13
"Closter, Bergen County",40.9731536,-73.9615262,13
"Brielle, Monmouth County",40.1078931,-74.0565263,13
"Mendham twp, Morris County",40.7870633,-74.5765686,12
"Rockaway Boro, Morris County",40.9012101,-74.5143232,12
"Wood-ridge, Bergen County",40.8456555,-74.0879195,12
"Ho-Ho-Kus, Bergen County",40.9964864,-74.101253,12
"Ocean Gate, Ocean County",39.926785,-74.1337496,11
"Delaware, Hunterdon County",40.4307258,-74.9442585,11
"Harvey Cedars, Ocean County",39.706231,-74.1340253,11
"Saddle Brook, Bergen County",40.9040085,-74.1007318,11
"Pine Beach, Ocean County",39.9359515,-74.1709735,11
"West Caldwell, Essex County",40.8409329,-74.3018154,11
"Mullica, Atlantic County",39.5907851,-74.663464,11
"Bedminster, Somerset County",40.669264,-74.6804,10
"Allendale, Bergen County",41.0414857,-74.129032,10
"Longport, Atlantic County",39.3142827,-74.5248756,10
"Wallington, Bergen County",40.8531553,-74.1137537,9
"Allenhurst, Monmouth County",40.2362236,-74.0006925,9
"Elk, Gloucester County",39.6644095,-75.1428632,9
"Blairstown, Warren County",40.9831018,-74.9589405,9
"Avon-By-the-Sea, Monmouth County",40.1923357,-74.0159703,9
"Medford Lakes, Burlington County",39.8623103,-74.8057734,9
"Woolwich, Gloucester County",39.737154,-75.3096289,9
"Runnemede Boro, Camden County",39.8523358,-75.0679497,9
"Newfield, Gloucester County",39.5465044,-75.0248964,9
"Fair Haven, Monmouth County",40.3606653,-74.0381947,9
"Peapack gladstone, Somerset County",40.7167675,-74.6565489,9
"Old Tappan, Bergen County",41.010653,-73.9912493,8
"Lower Alloways Creek, Salem County",39.4519933,-75.4577775,8
"Greenwich, Warren County",40.6826198,-75.1195107,8
"Belvidere, Warren County",40.82982,-75.0776747,7
"Laurel Springs, Camden County",39.8201141,-75.0062788,7
"Island Heights, Ocean County",39.9420626,-74.1498616,7
"Allentown, Monmouth County",40.1778886,-74.5834887,7
"Roseland, Essex County",40.8206555,-74.2937594,7
"Berkeley Heights, Union County",40.6808726,-74.4310524,7
"Mansfield, Burlington County",40.0713106,-74.7220017,7
"Eastampton, Burlington County",40.0033813,-74.756468,7
"Ridgefield, Bergen County",40.8342669,-74.0087505,6
"Midland Park, Bergen County",40.9892643,-74.1406988,6
"Emerson, Bergen County",40.976209,-74.0262505,6
"Boonton Township, Morris County",40.9293994,-74.4300912,6
"Chesterfield, Burlington County",40.1219081,-74.651754,6
"West Amwell, Hunterdon County",40.3731071,-74.8857989,6
"Surf City, Ocean County",39.6620638,-74.1651377,6
"North Caldwell, Essex County",40.8648215,-74.2582027,5
"Woodcliff Lake, Bergen County",41.0234304,-74.0665297,5
"Long Hill, Morris County",40.6828892,-74.4935913,5
"Ogdensburg, Sussex County",41.0817636,-74.5923824,5
"Bay Head, Ocean County",40.0717828,-74.0543036,5
"River Vale, Bergen County",41.0147679,-74.0119736,5
"Lebanon, Hunterdon County",40.6417683,-74.8359987,4
"Totowa, Passaic County",40.9050988,-74.2098679,4
"Audubon, Camden County",39.8909466,-75.0729504,4
"Winfield, Union County",40.636214,-74.2884806,4
"Riverton, Burlington County",40.0115009,-75.0148931,4
"Oradell, Bergen County",40.9587093,-74.0368064,4
"Haworth, Bergen County",40.9609315,-73.9901383,4
"Moonachie, Bergen County",40.8412111,-74.0451405,4
"Chesilhurst, Camden County",39.7323384,-74.8809966,4
"Town of Clinton, Hunterdon County",40.6367682,-74.90989,4
"Springfield, Burlington County",40.0312267,-74.7220017,4
"West Wildwood, Cape May County",39.0023352,-74.8243343,3
"Chatham Twp, Morris County",40.7265893,-74.4172591,3
"Alpine, Bergen County",40.9559316,-73.9312478,3
"Harrington Park, Bergen County",40.9837089,-73.9798601,3
"Norwood, Bergen County",40.9981532,-73.9618039,3
"Mountain Lakes, Morris County",40.8948212,-74.4329314,2
"Frenchtown, Hunterdon County",40.5262138,-75.06156,2
"Demarest, Bergen County",40.9573205,-73.9634708,2
"East Newark, Hudson County",40.7497019,-74.1636313,2
"Saddle River, Bergen County",41.0317637,-74.1020866,2
"Northvale, Bergen County",41.0064864,-73.9490258,2
"Pennington Boro, Mercer County",40.3284402,-74.790718,1
"South Harrison, Gloucester County",39.7001137,-75.2579635,1
"Far Hills, Somerset County",40.684268,-74.6357148,1
"Essex Fells, Essex County",40.8245442,-74.2845925,1
"Montgomery, Somerset County",40.4329141,-74.663464,1
"Mantoloking, Ocean County",40.0392835,-74.0498585,1
