Row Labels,Count of church,Address,UpdatedChurchName,Latitude,Longitude,Flag
"IHM/St. Patrick, Elizabeth",1,"215 Court Street, Elizabeth, NJ 07206","Immaculate Heart of Mary/St. Patrick, Elizabeth",40.6522701,-74.1863352,Immaculate Heart of Mary/St. Patrick Parish
"Immaculate Conception Cathedral, Bridgeton",1,"312 N Pearl St, Bridgeton, NJ 08302","Immaculate Conception Cathedral, Bridgeton",39.4377097,-75.2278924,
"Immaculate Conception Seminary, Mahwah",1,,"Immaculate Conception Seminary, Mahwah",41.0780104,-74.1838864,Appears to be a historic home? Multiple places
"Immaculate Conception Seminary, South Orange",1,"400 S Orange Ave, South Orange, NJ 07079","Immaculate Conception Seminary, South Orange",40.7416831,-74.2474155,
"Immaculate Conception, Bridgeton",3,"312 N Pearl St, Bridgeton, NJ 08302","Immaculate Conception, Bridgeton",39.4377097,-75.2278924,
"Immaculate Conception, Camden",9,"642 Market St, Camden, NJ 08102","Immaculate Conception, Camden",39.944882,-75.1185572,
"Immaculate Conception, Mahwah",1,"US-202, Mahwah, NJ 07430","Immaculate Conception, Mahwah",41.0780104,-74.1838864,Multiple by that name
"Immaculate Conception, Montclair",1,"30 N Fullerton Ave, Montclair, NJ 07042","Immaculate Conception, Montclair",40.8164718,-74.2166383,
"Immaculate Conception, Newark",2,"654 Summer Avenue, Newark, NJ 07104-3418","Immaculate Conception, Newark",40.7794088,-74.1626212,
"Immaculate Conception, Secaucus",3,"1219 Paterson Plank Rd, Secaucus, NJ 07094","Immaculate Conception, Secaucus",40.7884853,-74.0559867,
"Immaculate Conception, Spotswood",2,"18 South St, Spotswood, NJ 08884","Immaculate Conception, Spotswood",40.3890194,-74.394005,Multiple by that name
"Immaculate Hear of Mary, Woodlynne",1,"201 Cooper Ave, Oaklyn, NJ 08107","Immaculate Heart of Mary, Woodlynne",39.917267,-75.096101,
"Immaculate Heart of Mary, Woodlynne",3,"201 Cooper Ave, Oaklyn, NJ 08107","Immaculate Heart of Mary, Woodlynne",39.917267,-75.096101,
"Immaculate Heart of Mary/St. Patrick, Elizabeth",1,"215 Court St, Elizabeth, NJ 07206","Immaculate Heart of Mary/St. Patrick, Elizabeth",40.6522701,-74.1863352,
"Incarnation, Mantua",3,"240 Main St, Mantua Township, NJ 08051","Incarnation, Mantua",39.7877543,-75.171946,
"Jersey City Medical Center, Jersey City",1,"355 Grand St, Jersey City, NJ 07302","Jersey City Medical Center, Jersey City",40.7155874,-74.0507132,
"K of C, Caldwell",1,"27 Personette St, Caldwell, NJ 07006","K of C, Caldwell",35.505418,-82.965098,Multiple by that name
"LaSalle College, PA",1,"1900 W Olney Ave, Philadelphia, PA 19141","LaSalle College, PA",40.0947583,-75.1901069,
"Leave, Puerto Rico",1,,"Leave, Puerto Rico",18.220833,-66.590149,??
"Little Flower, Berkeley Heights",1,"110 Roosevelt Ave, Berkeley Heights, NJ 07922","Little Flower, Berkeley Heights",40.678595,-74.439579,
"Mary Mother of God, Hillsborough",1,"157 S Triangle Rd, Hillsborough Township, NJ 08844","Mary Mother of God, Hillsborough",40.5151177,-74.6499488,"Look up(Pisik, Timothy E.)"
"Mary,",1,,"Mary,",37.09024,-95.712891,"Look up(Pisik, Timothy E.)"
Military Chaplain,1,,Military Chaplain,38.896324,-77.14009,Not a church
Moderator Holy Child Day Camp,1,,Moderator Holy Child Day Camp,40.711023,-74.366855,Can't find
"Most Blessed Sacrament, Franklin Lakes",1,"787 Franklin Lake Rd, Franklin Lakes, NJ 07417","Most Blessed Sacrament, Franklin Lakes",40.9943407,-74.2116502,Could also be Academy of the most blessed sacrement
"Most Holy Name, Garfield",1,"99 Marsellus Pl, Garfield, NJ 07026","Most Holy Name, Garfield",40.8669202,-74.1042228,
"Most Holy Redeemer, Westville",4,"1219 Delsea Dr Westville, NJ 08093","Most Holy Redeemer, Westville",39.8431045,-75.1250423,Could be church or school
"Most Holy Redeemer, Westville Grove",4,"1219 Delsea Dr, Westville Grove, NJ 08093","Most Holy Redeemer, Westville Grove",39.8431045,-75.1250423,Unclear if same as above
"Mother of the Church, Bellmawr",1,"20 Braisington Ave Bellmawr, NJ 08031","Mother of the Church, Bellmawr",39.8668749,-75.0754419,
"Mother Seton Regional High School, Clark",1,"1 Valley Rd, Clark, NJ 07066","Mother Seton Regional High School, Clark",40.6257967,-74.3030476,
"Mount St. Andrew Villa, Paramus",1,"55 W Midland Ave, Paramus, NJ 07652","Mount St. Andrew Villa, Paramus",40.9445428,-74.0754189,
"Nativity, Midland Park",2,"315 Prospect St, Midland Park, NJ 07432","Nativity, Midland Park",41.0024281,-74.1386724,
"Naval Hospital, Long Island",1,,"No longer exists, can't find address so ???",,,
"Notre Dame, North Caldwell",1,"359 Central Ave, Caldwell, NJ 07006","Notre Dame, North Caldwell",40.8629139,-74.2696905,
"O. L. of Good Counsel, Ocean City",1,"3948 Central Ave, Ocean City, NJ 08226","Our Lady of Good Counsel, Ocean City",39.2437562,-74.617854,
"O. L. of Mt. Carmel, Berlin",1,"178 W White Horse Pike, Berlin, NJ 08009","Our Lady of Mt. Carmel, Berlin",39.8036121,-74.9497269,Both church and school
"O.L Star of the Sea, Cape May",1,"525 Washington, Cape May, NJ 08204","Our Lady Star of the Sea, Cape May",38.9333507,-74.9219079,
O.L. Lourdes Hospital Chaplain,1,"1601 Haddon Ave, Camden, NJ 08103",Our Lady Lourdes Hospital Chaplain,30.1506465,-92.036257,
"O.L. of Mt. Carmel, Berlin",5,"178 W White Horse Pike, Berlin, NJ 08009","Our Lady of Mt. Carmel, Berlin",39.8036121,-74.9497269,Both church and school
